region,mean_residual,mean_observed_z,n_obs,expr_Mapt,expr_Apoe,expr_Trem2
"iLateral septal nucleus, ventral part",,,0.0,-0.3760233133209694,2.0496754290099006,-0.9293174753742067
iOlfactory tubercle,,,0.0,-1.418355769217859,0.0768206883351684,-0.10574453484511874
iSeptofimbrial nucleus,,,0.0,-1.111393857749198,0.5085402020647649,-0.6702229929783105
iAnterodorsal nucleus,,,0.0,0.47775270367193556,1.129797298100598,-0.2915018266503762
"iAnteromedial nucleus, dorsal part",,,0.0,0.22176566856678487,-1.0258709117173601,-0.9244455066177182
"iAnteromedial nucleus, ventral part",,,0.0,0.4098347152490776,-1.4994559485795393,-0.9537147558868508
iAnteroventral nucleus of thalamus,,,0.0,0.2081829225389202,-0.9945563967460294,-0.9000064618538426
iCentral lateral nucleus of the thalamus,,,0.0,-0.9206633726135778,-0.5172021249934927,-0.32106844834748566
iCentral medial nucleus of the thalamus,,,0.0,0.7178600915628975,-1.2750621961580348,0.07892919573451122
iIntermediodorsal nucleus of the thalamus,,,0.0,1.2050604185795526,-0.31885669583197884,1.7825441655935863
iLateral dorsal nucleus thalamus,,,0.0,-0.10116231915850936,0.14587207184005105,-0.3487118709328846
iDorsal part of the lateral geniculate complex,,,0.0,-0.045533084214045436,-1.294360631591873,2.3435661242286634
iVentral part of the lateral geniculate complex,,,0.0,-0.6717885624221008,-0.6856834806109692,-0.27346488207705966
iLateral habenula,,,0.0,-0.8752875307524086,0.31613504945612947,0.3809945491375128
iLateral posterior nucleus of the thalamus,,,0.0,-0.9050968655036217,-1.4477701023033263,-0.06027016818268282
iMediodorsal nucleus of thalamus,,,0.0,-0.28663176486935765,-0.477828628387744,0.1720207969173643
"iMedial geniculate complex, dorsal part",,,0.0,0.7909232337554414,-0.6882564402766986,-0.18515004961240933
"iMedial geniculate complex, medial part",,,0.0,0.8259773264104663,-1.7409623549516218,-0.9008253689400011
"iMedial geniculate complex, ventral part",,,0.0,0.42704821465143483,-0.5932791209087737,-0.25180693226531303
iMedial habenula,,,0.0,-1.0601482092123322,2.3407125782912757,4.077692665596936
iParafascicular nucleus,,,0.0,1.0624721198582756,-2.1077378353267733,-0.523783708290643
iPosterior complex of the thalamus,,,0.0,-1.1382589915727992,-1.467862520540357,-0.7127143424006548
iPosterior limiting nucleus of the thalamus,,,0.0,0.993515330169073,-1.5132949517317094,-0.9845279386917043
iPeripeduncular nucleus,,,0.0,1.0864269735042724,-0.8132803619685991,0.36441023876401896
iParataenial nucleus,,,0.0,1.59306975970797,-2.8632042525954384,-0.8308551365485857
iParaventricular nucleus of the thalamus,,,0.0,1.0946110651167065,0.47463098113207774,0.6285408989480468
iNucleus of reunions,,,0.0,1.1861027364205134,-0.16056738777516738,-0.585235268207201
iRhomboid nucleus,,,0.0,0.658906414556929,-0.048851870622548504,-0.30089298259252495
iReticular nucleus of the thalamus,,,0.0,-0.6089716915124173,-0.7336252631973577,-0.919112424274111
iSubmedial nucleus of the thalamus,,,0.0,-0.01043273006367239,-0.5817232524079179,-0.6786609969518127
iSubparafascicular area,,,0.0,0.535015186492749,0.32621816181124264,-0.34344595258744215
"iSubparafascicular nucleus, magnocellular part",,,0.0,1.1318303903727869,-0.7526543073906012,-0.3689149927581112
"iSubparafascicular nucleus, parvicellular part",,,0.0,-0.08399642673543946,-1.01213482258709,-0.8838209118833366
iVentral anterior-lateral complex of the thalamus,,,0.0,-0.6301784169986081,-0.5998820452190473,-0.5538474422144777
iVentral nucleus thalamus medial,,,0.0,-0.4181381761721592,-1.08952570285506,-0.6029968879979858
iVentral nucleus thalamus posterolateral,,,0.0,-0.9897659120391669,-0.47264757977297805,-0.8455200372271334
iVentral nucleus thalamus,,,0.0,-1.0671920233589778,-0.7840232099312868,-0.5419756583228292
iVentral nucleus thalamus posteromedial parvicellular part,,,0.0,0.39036208435399844,-2.428723214077297,-0.8314978179519652
cAnterior amygdalar area,0.026979336721127508,-0.29288278391881,24.0,1.2670352447809434,-0.7688879411006082,-0.8039090498695413
cBasolat amygdalar nucleus,-0.12210292219390444,-0.29288278391881,24.0,0.06599567482168987,0.4800268509855362,-0.16951255648599112
cBasomed amygdalar nucleus,-0.017535430358651568,-0.29288278391881,24.0,0.7803866122739207,0.21747099470150194,-0.1536093394195877
cCentral amygdalar nucleus,0.019976060391086865,-0.29288278391881,24.0,0.29246757400124646,0.6728730551162552,-0.016610425289225524
