region,mean_residual,mean_observed_z,n_obs,expr_Mapt,expr_Apoe,expr_Trem2
"cCortical amygdalar area, anterior part",0.02530890808969961,-0.29288278391881,24.0,1.2759242506355088,-0.07711530131034984,-0.20603778450255253
"cCortical amygdalar area, posterior part",-0.04180811785443981,-0.29288278391881,24.0,0.05576262507018532,-0.025614305473904402,-0.04093078384465569
cIntercalated amygdalar nucleus,0.05267680317599758,-0.29288278391881,24.0,0.5293949735558365,0.09064451114563392,-0.24827701653805956
cLateral amygdalar nucleus,0.012598210045945052,-0.29288278391881,24.0,-0.6631214613141757,-0.3080406763376598,0.24238416335779198
cMedial amygdalar nucleus,0.019180738902212852,-0.29288278391881,24.0,-0.040013557236418786,0.3039174778725318,-0.6005258370388407
cPosterior amygdalar nucleus,0.026779385279823025,-0.29288278391881,24.0,0.43209473603957194,1.8679621187151336,-0.03318146920562054
cPiriform-amygdalar area,-0.05593605586915917,-0.29288278391881,24.0,-0.9885622636343075,-0.6754012086836938,0.5259001056895927
cAnsiform lobule,,,0.0,-3.23385132555094,-3.3151471541099196,-0.986782469826249
cCentral lobule,,,0.0,-2.192973483969245,0.45062656883912783,-0.6392675322604562
cCulmen,,,0.0,-1.6314507295689908,0.0019990881867036304,-0.6837017003140344
cFlocculus area,,,0.0,-1.3356494207774967,1.3582629257261407,0.49155489821757675
cNodulus (X),,,0.0,-0.8762142709029738,1.2085089622470913,-0.45354364742401665
cParaflocculus,,,0.0,-1.6493831251773277,0.3399958642374162,0.034356438945791004
cParamedian lobule,,,0.0,-1.195438102992963,-0.024122366231328417,-0.22604378432909558
cPyramus (VIII),,,0.0,-1.0127662067405354,0.2674918727949366,-0.7304736536504963
cSimple lobule,,,0.0,-1.3057528663176308,0.12108293198142024,-0.4854402167945532
cDentate nucleus,,,0.0,-0.8119038742481431,0.10897108037535458,-0.6126187696562856
cFastigial nucleus,,,0.0,-1.1365712883460237,-0.7745344650531284,-0.7527415480012216
cInterposed nucleus,,,0.0,-1.4421302162325926,0.21747536412110036,0.5589987193739012
cClaustrum,,,0.0,0.08398804890502842,-0.43015879101821347,0.8978287878325748
"cEndopiriform nucleus, dorsal part",,,0.0,0.1595697288075116,-0.11738821755824698,0.20276877781272873
"cEndopiriform nucleus, ventral part",,,0.0,0.6881130263972186,-0.3027730965416495,-0.5180940502984012
cDentate gyrus,-3.1639077695513573,-0.014788209867619542,24.0,0.6197764987029785,0.5666892449112858,1.0628035649713712
cField CA3,-0.89238151751929,1.10638192260704,24.0,0.5238575390797384,-0.3834044467545068,0.7904091326277252
cField CA2,,,0.0,-0.7131443641383368,-0.032037805366834045,0.49512898984977105
cField CA1,-1.1839011181013017,0.9763625053797013,24.0,-0.1727389504924469,-0.5892068975591545,-0.01294131208402122
"cSubiculum, dorsal part",0.16942338222351117,0.4838244921017764,24.0,0.5475637895499752,-0.3323543727571534,0.4902616444841524
"cSubiculum, ventral part",-0.1419574347326559,0.4838244921017764,24.0,0.7421931414329641,0.03581831387513906,0.13846002870230378
cPresubiculum,0.5017154643518488,0.4838244921017764,24.0,-0.01529445351021537,0.13604276686713934,0.5393170436814808
